"country","iso3c","date","gdp_grwth","gdp","gdp_for20_grwth","gdp_forc20","gdp_dollars","gdp_forc20_dollars","gap_dollars","gap_relative"
"Mali","MLI",2015,NA,81.75791393501521,NA,81.75791393501521,13104764333.9941,13104764333.9941,"$0","0.00%"
"Malta","MLT",2015,NA,77.54669852302366,NA,77.54669852302366,11091423499.3898,11091423499.3898,"$0","0.000%"
"Marshall Islands","MHL",2015,NA,82.07875819734447,NA,82.07875819734447,182997300,182997300,"$0","0.00%"
"Mauritania","MRT",2015,NA,84.23349300939759,NA,84.23349300939759,6166857628.62212,6166857628.62212,"$0","0.00%"
"Mauritius","MUS",2015,NA,86.56179138517052,NA,86.56179138517052,12007291045.6489,12007291045.6489,"$0","0.00%"
"Mexico","MEX",2015,NA,93.55726612455145,NA,93.55726612455145,1171867608197.72,1171867608197.72,"$0","0%"
"Micronesia, Fed. Sts.","FSM",2015,NA,95.19680479815639,NA,95.19680479815639,316489900,316489900,"$0","0.00%"
"Moldova","MDA",2015,NA,84.59687773811237,NA,84.59687773811237,7745241912.94722,7745241912.94722,"$0","0.00%"
"Monaco","MCO",2015,NA,88.43264659271001,NA,88.43264659271001,6261622101.40908,6261622101.40908,"$0","0%"
"Mongolia","MNG",2015,NA,81.9770577118815,NA,81.9770577118815,11619892396.0767,11619892396.0767,"$0","0.00%"
"Montenegro","MNE",2015,NA,84.83093623427928,NA,84.83093623427928,4054712082.54743,4054712082.54743,"$0","0.000%"
"Morocco","MAR",2015,NA,89.29404536954472,NA,89.29404536954472,110414366621.263,110414366621.263,"$0","0.000%"
"Mozambique","MOZ",2015,NA,87.7217782457969,NA,87.7217782457969,15950969018.9458,15950969018.9458,"$0","0.000%"
"Myanmar","MMR",2015,NA,75.33465475987823,NA,75.33465475987823,63045305229.1046,63045305229.1046,"$0","0.0%"
"Namibia","NAM",2015,NA,100.79021047059337,NA,100.79021047059337,11335179560.987,11335179560.987,"$0","0%"
"Nauru","NRU",2015,NA,96.55172413793098,NA,96.55172413793098,86529661.3694983,86529661.3694983,"$0","0.000%"
"Nepal","NPL",2015,NA,79.59667851191952,NA,79.59667851191952,24360795410.6422,24360795410.6422,"$0","0.00%"
"Netherlands","NLD",2015,NA,91.1124522649901,NA,91.1124522649901,765572770634.375,765572770634.375,"$0","0.000%"
"New Caledonia","NCL",2015,NA,NA,NA,NA,8738205836.7394,8738205836.7394,"$0",NA
"New Zealand","NZL",2015,NA,88.08501429908465,NA,88.08501429908465,178064471137.921,178064471137.921,"$0","0.00%"
"Nicaragua","NIC",2015,NA,98.29958110645691,NA,98.29958110645691,12756706583.3113,12756706583.3113,"$0","0.0%"
"Niger","NER",2015,NA,79.29720096510874,NA,79.29720096510874,9683867893.68343,9683867893.68343,"$0","0.0%"
"Nigeria","NGA",2015,NA,96.79113620938506,NA,96.79113620938506,493026782401.561,493026782401.561,"$0","0.00%"
"North Macedonia","MKD",2015,NA,89.97831586555799,NA,89.97831586555799,10064515432.0265,10064515432.0265,"$0","0.00%"
"Northern Mariana Islands","MNP",2015,NA,87.67268862911754,NA,87.67268862911754,910000000,910000000,"$0","0%"
"Norway","NOR",2015,NA,94.91559344516754,NA,94.91559344516754,385801550067.169,385801550067.169,"$0","0.00%"
"Oman","OMN",2015,NA,94.77109014074317,NA,94.77109014074317,78710793237.9714,78710793237.9714,"$0","0.00%"
"Pakistan","PAK",2015,NA,83.39893019043836,NA,83.39893019043836,270556131701.171,270556131701.171,"$0","0.00%"
"Palau","PLW",2015,NA,103.8154894227321,NA,103.8154894227321,280457700,280457700,"$0","0.0%"
"Panama","PAN",2015,NA,84.50980392156856,NA,84.50980392156856,54091800000,54091800000,"$0","0.00%"
"Papua New Guinea","PNG",2015,NA,87.87886304804685,NA,87.87886304804685,21723531173.2409,21723531173.2409,"$0","0.00%"
"Paraguay","PRY",2015,NA,89.02192239181002,NA,89.02192239181002,36211447840.0971,36211447840.0971,"$0","0.00%"
"Peru","PER",2015,NA,88.27325033616594,NA,88.27325033616594,189805300841.603,189805300841.603,"$0","0.00%"
"Philippines","PHL",2015,NA,77.34148651515508,NA,77.34148651515508,306446140628.709,306446140628.709,"$0","0.000%"
"Poland","POL",2015,NA,83.48358454630576,NA,83.48358454630576,477111287969.227,477111287969.227,"$0","0.00%"
"Portugal","PRT",2015,NA,89.67077313933171,NA,89.67077313933171,199394066525.44,199394066525.44,"$0","0.000%"
"Puerto Rico","PRI",2015,NA,107.24740051314554,NA,107.24740051314554,103375500000,103375500000,"$0","0.00%"
"Qatar","QAT",2015,NA,96.55244729669518,NA,96.55244729669518,161739955576.923,161739955576.923,"$0","0.000%"
"Romania","ROU",2015,NA,81.60300049341154,NA,81.60300049341154,177882417554.984,177882417554.984,"$0","0.00%"
"Russian Federation","RUS",2015,NA,93.29006557856842,NA,93.29006557856842,1363481063446.77,1363481063446.77,"$0","0.00%"
"Rwanda","RWA",2015,NA,76.36147297109362,NA,76.36147297109362,8539424910.07969,8539424910.07969,"$0","0.00%"
"Samoa","WSM",2015,NA,87.96620840127548,NA,87.96620840127548,824160018.151066,824160018.151066,"$0","0.00%"
"San Marino","SMR",2015,NA,94.07971326286344,NA,94.07971326286344,1419394771.21029,1419394771.21029,"$0","0.000%"
"Sao Tome and Principe","STP",2015,NA,87.8564172194067,NA,87.8564172194067,316066072.343754,316066072.343754,"$0","0.00%"
"Saudi Arabia","SAU",2015,NA,96.33979014498061,NA,96.33979014498061,654269739552.019,654269739552.019,"$0","0.000%"
