"country","iso3c","region","gdp_2019","gdp_2020","gdp_2021","SP.POP.TOTL_2019","SP.POP.TOTL_2020","SP.POP.TOTL_2021","tourism_gdp_share_2019","tourism_gdp_share_2020","tourism_gdp_share_2021","tourism_2019","tourism_2020","tourism_2021","change_gdp","tourism"
"Estonia","EST","Europe & Central Asia",26895658710.6379,26747463292.8629,28890737526.520004,1326898,1329522,1329522,8.607337060996985,8.607337060996985,8.607337060996985,"5-10% GDP","5-10% GDP","5-10% GDP",7.417847011469549,"5-10% GDP"
"Eswatini","SWZ","Sub-Saharan Africa",4404836242.86059,4336136540.79741,4678691327.520405,1169613,1180655,1180655,0.3246431697245864,0.3246431697245864,0.3246431697245864,"< 5% GDP","< 5% GDP","< 5% GDP",6.217145645395612,"< 5% GDP"
"Fiji","FJI","East Asia & Pacific",5216009324.46015,4329275480.64859,4108482431.135512,918465,920422,920422,25.785996848063643,25.785996848063643,25.785996848063643,">= 10% GDP",">= 10% GDP",">= 10% GDP",-21.233223033765675,">= 10% GDP"
"Finland","FIN","Europe & Central Asia",254744159687.5,249126695922.266,256657795939.9961,5521606,5529543,5529543,2.333321402654188,2.333321402654188,2.333321402654188,"< 5% GDP","< 5% GDP","< 5% GDP",0.751199263937431,"< 5% GDP"
"France","FRA","Europe & Central Asia",2616812485718.01,2413104454442.24,2576375101829.8022,67388001,67571107,67571107,2.7136449549810124,2.7136449549810124,2.7136449549810124,"< 5% GDP","< 5% GDP","< 5% GDP",-1.5452916137058317,"< 5% GDP"
"French Polynesia","PYF","East Asia & Pacific",5919240292.02171,5327316262.81954,NA,299717,301920,301920,14.20488023897297,14.20488023897297,14.20488023897297,">= 10% GDP",">= 10% GDP",">= 10% GDP",NA,">= 10% GDP"
"Gabon","GAB","Sub-Saharan Africa",15460241608.8257,15176119308.2143,15403761097.837513,2242785,2292573,2292573,0.19953963059031415,0.19953963059031415,0.19953963059031415,"< 5% GDP","< 5% GDP","< 5% GDP",-0.365327479461544,"< 5% GDP"
"Gambia, The","GMB","Sub-Saharan Africa",1677527607.99611,1687449970.54799,1760010319.2815535,2508883,2573995,2573995,10.637860650286663,10.637860650286663,10.637860650286663,">= 10% GDP",">= 10% GDP",">= 10% GDP",4.916921241252967,">= 10% GDP"
"Georgia","GEO","Europe & Central Asia",17757903230.0709,16557390869.4311,18279359519.851936,3720161,3722716,3722716,19.996730210731204,19.996730210731204,19.996730210731204,">= 10% GDP",">= 10% GDP",">= 10% GDP",2.9364744419713475,">= 10% GDP"
"Ghana","GHA","Sub-Saharan Africa",62465709576.1815,62786746873.6125,66177231204.78758,31522290,32180401,32180401,2.3853086919357507,2.3853086919357507,2.3853086919357507,"< 5% GDP","< 5% GDP","< 5% GDP",5.941694497329942,"< 5% GDP"
"Greece","GRC","Europe & Central Asia",203912718651.88,185552328472.832,201019970574.3273,10721582,10698599,10698599,11.280806882512682,11.280806882512682,11.280806882512682,">= 10% GDP",">= 10% GDP",">= 10% GDP",-1.4186207200205134,">= 10% GDP"
